,NumberOfTime30-59DaysPastDueNotWorse,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,bins_age,bins_MonthlyIncome,bins_RevolvingUtilizationOfUnsecuredLines,bins_DebtRatio
123587,0,9,0,2,0,2.0,4,3,1,2
2892,0,3,0,0,1,0.0,2,1,3,0
1802,0,6,0,1,0,0.0,7,5,0,3
74823,1,12,0,2,0,1.0,9,9,3,0
68507,0,10,0,1,0,1.0,7,5,1,2
67503,0,6,1,1,0,0.0,11,5,2,3
143554,5,14,1,1,2,3.0,5,4,3,2
95175,0,4,0,1,0,2.0,7,3,3,1
121300,0,16,0,3,0,0.0,10,9,2,2
107797,0,21,0,3,0,1.0,10,9,2,1
137120,2,3,1,0,0,6.0,5,2,2,0
106067,5,14,1,2,5,1.0,10,2,3,3
148188,0,4,0,0,0,0.0,1,0,2,1
47843,0,12,0,1,0,1.0,7,5,2,1
35354,0,17,0,12,0,0.0,6,9,2,2
128770,0,7,0,0,0,0.0,12,9,0,0
131483,0,7,0,0,0,0.0,8,6,3,0
42609,0,8,0,1,0,0.0,10,7,0,1
65480,0,9,0,0,0,0.0,12,1,0,1
9656,0,5,0,0,0,0.0,11,5,0,0
96422,0,4,0,1,1,2.0,4,6,0,0
39748,0,17,0,2,0,1.0,6,3,0,2
132159,1,5,1,0,0,0.0,5,5,3,3
4747,1,14,0,0,0,0.0,10,4,3,1
70063,0,13,0,1,0,0.0,7,8,2,1
57253,0,15,0,3,0,0.0,9,5,2,3
88040,0,7,0,1,0,0.0,6,9,3,1
8989,0,19,0,0,0,1.0,4,5,3,2
70401,0,12,0,2,0,1.0,6,6,3,2
106942,0,13,0,1,0,0.0,8,5,1,2
102068,0,11,0,2,0,3.0,6,9,2,1
74209,0,15,0,0,0,2.0,2,0,2,3
76223,0,15,0,1,1,0.0,10,6,3,2
19868,1,5,0,0,0,0.0,4,5,1,3
73263,0,8,0,1,0,0.0,10,6,0,1
44379,0,14,0,2,0,0.0,12,3,0,1
75258,0,7,0,0,0,0.0,2,5,1,3
64476,0,10,0,2,0,0.0,8,5,2,2
76482,0,7,0,1,0,2.0,9,9,1,0
48064,0,12,0,1,0,0.0,4,0,3,3
137913,0,21,0,2,0,0.0,12,3,1,1
118450,0,17,0,0,0,0.0,9,4,0,0
47538,0,3,0,1,0,0.0,12,5,0,3
109709,2,9,0,2,0,2.0,5,9,3,1
1017,0,10,1,1,0,0.0,6,2,0,2
100415,0,3,0,0,0,0.0,7,4,3,0
26237,1,10,0,1,0,0.0,7,3,2,2
88750,0,5,0,0,0,0.0,12,4,0,0
103136,0,13,0,1,0,3.0,10,7,1,2
64919,0,7,0,1,0,2.0,3,7,1,1
61618,0,8,0,0,0,0.0,2,4,3,1
120221,0,25,0,2,0,0.0,9,9,2,2
